Fault Number,Building Trade,Trade Category,Type of Fault,Impact,Location,Cancel Status,Reported Date,Fault Acknowledged Date,Responded on Site Date,RA Conducted Date,Work Started Date,Work Completed Date,Action(s) Taken,Other Trades Required Date,Cost Cap Exceed Date,Assistance Requested Date,Fault Reference,End User Priority,Incident Report,Remarks
FID4991,Mechanical,Air Handling Unit,Other: Hygrometer,Localised to room,RMG > RH > 7 > Angio Technical / Store Rm,,27/12/2021 10:04,,,,,,,,,,,,,Need to replace hygrometer battery-Aru-low
FID4988,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 10 > Nursing Stn C,,27/12/2021 9:59,27/12/2021 10:16,27/12/2021 10:17,27/12/2021 10:17,27/12/2021 10:17,27/12/2021 10:19,Adjusted VAV 2-1-22 temperature setpoint from 24c to 22c and damper position from 90% manual to 100% manual in bms system make it cool,,,,,,,Aircon make it cool-su-low
FID4987,Plumbing & Sanitary,Shower Fittings,Damaged / Loose / Cracked,Localised to room,RMG > RH > 7 > OT Male Channing Rm,,27/12/2021 9:48,27/12/2021 9:51,27/12/2021 9:52,27/12/2021 9:52,27/12/2021 9:52,,,,,,,,,Shower head faulty-Hossain-low
FID4983,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 11 > Facilities Dept.,,27/12/2021 9:44,27/12/2021 9:49,27/12/2021 9:49,27/12/2021 9:50,27/12/2021 9:51,27/12/2021 10:05,Replaced new bulb,,,,,,,Light flickering -mani-low
FID4979,Medical Equipment,Medical Gas,Change Cylinders,Localised to room,RMG > RH > 7 > OT,,27/12/2021 8:59,27/12/2021 9:03,27/12/2021 9:34,27/12/2021 9:34,27/12/2021 9:35,27/12/2021 9:36,replaced co2 big 2,,,,,,,Need to replace 2 big CO2 cylinder-v.bala-medium
FID4978,Electrical,Queue System,Unserviceable,More than 1 room,RMG > RH > 2 > RM@RH Counter,,27/12/2021 8:58,27/12/2021 8:58,27/12/2021 8:59,27/12/2021 8:59,27/12/2021 9:03,27/12/2021 9:14,reset back to mormal,,,,,,,Queue system not working-A.Bala-low
FID4974,Plumbing & Sanitary,WC / Squatting Pedestal,Choked,More than 1 room,RMG > RH > 10 > Ward 1067,,26/12/2021 23:58,27/12/2021 0:02,27/12/2021 0:02,27/12/2021 0:03,27/12/2021 0:03,27/12/2021 0:04,Toilet bowl choke cleared,,,,,,,Toilet choke-v.bala-low
FID4964,Mechanical,BMS / BAS,Too hot / Too cold,Localised to room,RMG > RH > 10 > Nursing Stn B,,26/12/2021 13:53,26/12/2021 13:54,26/12/2021 13:55,26/12/2021 13:55,26/12/2021 13:57,26/12/2021 13:57,adjusted the setpoint to 22 degrees,,,,,,,Aircon make cool-satha-low
FID4962,Mechanical,BMS / BAS,Too hot / Too cold,Localised to room,RMG > RH > 10 > Nursing Stn D,,26/12/2021 12:18,26/12/2021 12:21,26/12/2021 12:21,26/12/2021 12:22,26/12/2021 12:23,26/12/2021 12:24,change the setting to auto,,,,,,,Aircon make cool-satha-low
FID4961,Plumbing & Sanitary,Bidet spray / Hose,Leaking,Localised to room,RMG > RH > 8 > Delivery Suite 6,,26/12/2021 12:17,,,,,,,,,,,,,Toilet spray leaking-ming cai-low
FID4956,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 13 > Ward 1328-1336,,26/12/2021 7:21,26/12/2021 7:21,26/12/2021 7:22,26/12/2021 7:22,26/12/2021 7:22,26/12/2021 7:29,adjusted the temperature setpoint 20c to 24c and manually in pms the system make it warm,,,,,,,Aircon make it warm-mani-low
FID4954,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 13 > Ward 1358-1363,,25/12/2021 23:12,,,,,,,,,,,,,Aircon make it cool -aru-low
FID4947,Plumbing & Sanitary,Basin / sink,Choked,More than 1 room,RMG > RH > 10 > Ward 1029,,25/12/2021 16:47,,,,,,,,,,,,,Basin choke -nazri-low
FID4946,Plumbing & Sanitary,WC / Squatting Pedestal,Choked,More than 1 room,RMG > RSC > 2 > Male Toilet,,25/12/2021 15:39,,,,,,,,,,,,,Toilet bowl choke-V.Bala-low
FID4944,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 8 > Ward 850,,25/12/2021 14:53,25/12/2021 14:54,25/12/2021 14:54,25/12/2021 14:55,25/12/2021 14:55,25/12/2021 14:57,manually closed diffuser make it warm,,,,,,,"Aircon too cold, make it warm-V.bala-low"
FID4943,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 1 > A&E Main Counter,,25/12/2021 14:39,25/12/2021 14:58,25/12/2021 14:58,25/12/2021 14:58,25/12/2021 14:59,25/12/2021 15:02,adjusted the temperature in bms setpoint 24to22 degree,,,,,,,"Aircon warm, make it cool-V.Bala-low"
FID4942,Office and Furniture,Cabinet,Cannot open / close,More than 1 room,RMG > RH > 10 > Nursing Stn D,,25/12/2021 13:52,25/12/2021 14:29,25/12/2021 14:30,25/12/2021 14:30,25/12/2021 14:39,25/12/2021 14:42,inside paper dropped clear,,,,,,,Drawer cannot close-V.bala-low
FID4936,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 9 > Nursing Stn A,,25/12/2021 10:04,25/12/2021 10:11,25/12/2021 10:12,25/12/2021 10:12,25/12/2021 10:13,25/12/2021 10:14,Replaced new light bulb,,,,,,,Light flickering -A.Bala-low
FID4932,Plumbing & Sanitary,Basin / sink,Choked,Localised to room,RMG > RSC > 1 > Male Toilet,,25/12/2021 7:56,25/12/2021 7:56,25/12/2021 7:57,25/12/2021 8:03,25/12/2021 8:03,25/12/2021 8:06,choke clearly,,,,,,,Toilet bowl choke-mani-low
FID4931,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 8 > Ward 850,,25/12/2021 7:48,,,,,,,,,,,,,Aircon make it warm -aru-low
FID4930,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 10 > Doctor's Lounge,,24/12/2021 19:55,24/12/2021 20:55,24/12/2021 20:55,24/12/2021 20:57,24/12/2021 20:58,24/12/2021 21:00,replaced new light bulb,,,,,,,Light flickering -A.Bala-low
FID4925,Plumbing & Sanitary,Urinal,Choked,Localised to room,RMG > RSC > 1 > Male Toilet,,24/12/2021 16:13,24/12/2021 16:14,24/12/2021 16:14,24/12/2021 16:15,24/12/2021 16:15,24/12/2021 16:16,choke cleared,,,,,,,Urinal bowl choke-v.bala-low
